团购名称,旅行内容,已购人数,旅游ID,价格/1人,团购网址,注意事项,目的地景点,去的方式,回来的方式,团购公司,团购发布来源,住宿条件,浏览的总个数
哈尔滨 6天5夜 跟团游,【纯玩零购物】【陆地头等舱】『16人精致小团』哈尔滨+亚布力+雪乡航拍6日游+机票,0,2126179157,5001,https://touch.dujia.qunar.com/p/item/2126179157?date=2023-12-09&amp;tuId=PID2126179157G1276648892&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"哈尔滨,亚布力,雪乡,牡丹江,亚布力滑雪场度假区,雪乡国家森林公园,海林市",自理去,自理去,武汉云晨国际旅行社有限公司,云晨旅游旗舰店,1晚经济型住宿; 3晚高档型住宿; 1晚豪华型住宿,全程游览9个景点
哈尔滨 6天5夜 跟团游,10人小包团随走随停??哈尔滨+亚布力+雪乡6日+赠送冰雪大世界+马拉雪橇+机票,26,954053773,5201,https://touch.dujia.qunar.com/p/item/954053773?date=2023-12-09&amp;tuId=PID954053773G880242013&amp;order_source=tts_tuan,建议至少在前1天的16:00分前预订,"哈尔滨,亚布力,雪乡,牡丹江,亚布力滑雪场度假区,雪乡国家森林公园,海林市,大秃顶子山",自理去,自理去,武汉云晨国际旅行社有限公司,云晨旅游旗舰店,1晚经济型住宿; 4晚高档型住宿,全程游览19个景点
丽江 5天4夜 跟团游,【纯玩8人小团】丽江大理5天4晚纯玩游 海景酒店 网红吉普车旅拍 全程商务车接送 登顶雪山 鲜花接机 蜜月鲜花铺床+机票,21,2794348779,3211,https://touch.dujia.qunar.com/p/item/2794348779?date=2024-01-09&amp;tuId=PID2794348779G3298511552&amp;order_source=tts_tuan,建议至少在前1天的18:00分前预订,"丽江,玉龙雪山,大理,大理古城,洱海,拉市海湿地公园,云杉坪原始森林",汽车去,汽车去,迪庆誉英旅行社有限责任公司,趣游,4晚高档型住宿,全程游览11个景点
湘西 5天4夜 跟团游,品质张家界森林公园天门山凤凰古城芙蓉镇5日?赠魅力湘西+游船 专车接送机+火车票,14,4062939493,2374,https://touch.dujia.qunar.com/p/item/4062939493?date=2023-12-09&amp;tuId=PID4062939493T1907668896&amp;order_source=tts_tuan,建议至少在前2天的23:59分前预订,"张家界大峡谷,张家界国家森林公园,袁家界,黄石寨,百龙电梯,黄龙洞,宝峰湖,沱江,沱江跳岩,沱江泛舟,张家界,凤凰古城",自理去,自理去,湖南省凌远国际旅行社有限公司常德分公司,环球私人定制中心,1晚舒适型住宿; 3晚高档型住宿,全程游览7个景点
湘西 5天4夜 跟团游,品质张家界森林公园天门山凤凰古城芙蓉镇5日?赠魅力湘西+游船 专车接送机+机票,14,4062939493,2912,https://touch.dujia.qunar.com/p/item/4062939493?date=2024-01-04&amp;tuId=PID4062939493G2145531435&amp;order_source=tts_tuan,建议至少在前2天的23:59分前预订,"张家界大峡谷,张家界国家森林公园,袁家界,黄石寨,百龙电梯,黄龙洞,宝峰湖,沱江,沱江跳岩,沱江泛舟,张家界,凤凰古城",自理去,自理去,湖南省凌远国际旅行社有限公司常德分公司,环球私人定制中心,1晚舒适型住宿; 3晚高档型住宿,全程游览7个景点
哈尔滨 4天3夜 跟团游,【雪乡2人间 哈尔滨亚布力雪乡4日游】  3H滑雪 大秃子山雪地摩托 十里画廊 梦幻家园 住1晚雪景暖炕+机票,45,3225494974,4797,https://touch.dujia.qunar.com/p/item/3225494974?date=2023-12-10&amp;tuId=PID3225494974G1355058162&amp;order_source=tts_tuan,建议至少在前1天的17:00分前预订,"雪乡,亚布力滑雪场度假区,哈尔滨,牡丹江,尚志市,雪乡影视基地,雪乡国家森林公园,亚布力新体委滑雪场,亚布力,海林市",自理去,自理去,哈尔滨江山国际旅行社有限公司,江山国旅去哪专营店,1晚高档型住宿; 2晚豪华型住宿,全程游览7个景点
大兴安岭 6天5夜 跟团游,雪国列车一单一团/哈尔滨-雪乡-漠河-北极村6日/雪地摩托-马拉爬犁-梦幻家园-二人转一价全含/一路向北去漠河/体验极寒+机票,0,3803424860,5923,https://touch.dujia.qunar.com/p/item/3803424860?date=2023-12-11&amp;tuId=PID3803424860G1776514827&amp;order_source=tts_tuan,建议至少在前1天的21:30分前预订,"哈尔滨,漠河,北极村,雪乡,雪乡影视基地,雪乡国家森林公园,大兴安岭",汽车去,汽车去,黑龙江腾达航空国际旅行社有限公司,黑龙江亚雪旅行网,2晚经济型住宿; 1晚高档型住宿,全程游览15个景点
哈尔滨 5天4夜 跟团游,哈尔滨亚布力雪乡5日游 高餐标O购物O自费 超长4H滑雪 雪地摩托 勇士车穿越 航拍Vlog 冰雪大世界+机票,82,570867637,5406,https://touch.dujia.qunar.com/p/item/570867637?date=2023-12-17&amp;tuId=PID570867637G3727658384&amp;order_source=tts_tuan,建议至少在前1天的17:00分前预订,"哈尔滨,雪乡,亚布力,尚志市,牡丹江,雪乡影视基地,雪乡国家森林公园,亚布力滑雪场度假区,亚布力新体委滑雪场",自理去,自理去,哈尔滨江山国际旅行社有限公司,江山国旅去哪专营店,1晚经济型住宿; 2晚高档型住宿; 1晚豪华型住宿,全程游览9个景点
哈尔滨 4天3夜 跟团游,哈尔滨雪乡4日游  特色餐 雪地摩托  冰雪十里画廊 梦幻家园+二人转 增送滑雪圈+机票,45,3271395469,4602,https://touch.dujia.qunar.com/p/item/3271395469?date=2023-12-18&amp;tuId=PID3271395469G3188771747&amp;order_source=tts_tuan,请在当天17:00之前预订,"雪乡,亚布力滑雪场度假区,哈尔滨,牡丹江,尚志市,雪乡影视基地,雪乡国家森林公园,亚布力新体委滑雪场,亚布力,海林市",自理去,自理去,哈尔滨江山国际旅行社有限公司,江山国旅去哪专营店,1晚高档型住宿; 2晚豪华型住宿,全程游览7个景点
哈尔滨 5天4夜 跟团游,东北旅游哈尔滨亚布力滑雪雪乡5日6人纯玩小团+机票,82,1392563214,4985,https://touch.dujia.qunar.com/p/item/1392563214?date=2023-12-09&amp;tuId=PID1392563214G3852119649&amp;order_source=tts_tuan,建议至少在前1天的17:00分前预订,"哈尔滨,雪乡,亚布力,尚志市,牡丹江,雪乡影视基地,雪乡国家森林公园,亚布力滑雪场度假区,亚布力新体委滑雪场",自理去,自理去,哈尔滨江山国际旅行社有限公司,江山国旅去哪专营店,1晚舒适型住宿; 3晚高档型住宿,全程游览15个景点
